project,n_test,fed_acc,fed_macro_f1,fed_f1_sp1,fed_f1_sp2,fed_f1_sp3,fed_f1_sp5,fed_f1_sp8,cen_acc,cen_macro_f1,cen_f1_sp1,cen_f1_sp2,cen_f1_sp3,cen_f1_sp5,cen_f1_sp8,local_acc,local_macro_f1,local_f1_sp1,local_f1_sp2,local_f1_sp3,local_f1_sp5,local_f1_sp8
Apache_Mesos,208,0.5707,0.5634,0.592,0.5505,0.4808,0.5085,0.7368,0.6574,0.5817,0.6393,0.6327,0.5957,0.5957,0.5185,0.4563,0.4134,0.4767,0.4149,0.378,0.2857,0.3478
Appcelerator_Studio,57,0.5234,0.551,0.5,0.4706,0.4615,0.4,0.5714,0.6733,0.6424,0.6111,0.6111,0.614,0.5882,0.6667,0.5238,0.2872,0.5699,0.5,0.4218,0.321,0.6
Aptana_Studio,60,0.6088,0.5325,0.5882,0.5143,0.5926,0.5333,0.6667,0.7124,0.6051,0.7664,0.6458,0.6024,0.5714,0.5714,0.5593,0.4023,0.5278,0.5373,0.4746,0.4667,0.6
Atlassian_Confluence_Server,319,0.5913,0.5749,0.5789,0.5241,0.4737,0.5385,0.5517,0.6256,0.5929,0.6199,0.5854,0.5417,0.5625,0.7407,0.4261,0.3048,0.4348,0.3333,0.359,0.2353,0.3333
DotNetNuke_Platform,270,0.5134,0.5851,0.5238,0.4865,0.4882,0.4179,0.2143,0.6892,0.5893,0.7482,0.6917,0.6796,0.5902,0.6923,0.4075,0.4313,0.3836,0.338,0.3448,0.4348,0
Hyperledger_Fabric,98,0.5987,0.4981,0.6207,0.4828,0.5455,0.5385,0.6,0.6725,0.6291,0.6923,0.64,0.5577,0.6122,0.6364,0.5191,0.284,0.5373,0.4571,0.5,0.6364,0.4444
Hyperledger_Indy_Node,291,0.5489,0.4991,0.5731,0.55,0.4769,0.4286,0.2857,0.6227,0.5311,0.6257,0.5838,0.5827,0.6301,0.6667,0.3642,0.2993,0.3896,0.3056,0.3051,0.1429,0.25
Hyperledger_Indy_SDK,163,0.5177,0.5662,0.5185,0.4615,0.4865,0.45,0.2667,0.6147,0.5898,0.6327,0.56,0.5526,0.5789,0.6667,0.4725,0.4344,0.5306,0.48,0.4,0.3,0.6667
Hyperledger_Sawtooth,269,0.6037,0.5607,0.5963,0.6144,0.4925,0.5397,0.56,0.6543,0.608,0.6452,0.6897,0.5833,0.4615,0.5714,0.5399,0.3493,0.5682,0.5029,0.4658,0.5063,0.5294
Lyrasis_Dura_Cloud,116,0.515,0.4186,0.5455,0.4776,0.4407,0.4828,0.3636,0.6427,0.5327,0.6087,0.6265,0.5676,0.6316,0.4211,0.428,0.3746,0.4396,0.3441,0.3944,0.3784,0.4286
MongoDB_Core_Server,77,0.4907,0.4367,0.52,0.4,0.3784,0.3333,0.3333,0.6421,0.557,0.6667,0.6575,0.5667,0.5625,0.5333,0.4742,0.3207,0.4923,0.4122,0.4,0.3077,0.3636
Moodle,66,0.5007,0.4573,0.5263,0.381,0.4571,0.3333,0.4,0.6916,0.5714,0.6632,0.6237,0.6714,0.642,0.5789,0.4722,0.3513,0.4918,0.4308,0.3529,0.6,0.2857
Mule,250,0.589,0.5337,0.6125,0.5467,0.5641,0.6,0.6957,0.6453,0.5173,0.6154,0.56,0.5,0.4615,0.6667,0.4229,0.3532,0.475,0.3694,0.406,0.3111,0.2
Sonatype_Nexus,310,0.5776,0.4595,0.5787,0.5134,0.539,0.5397,0.8125,0.6217,0.529,0.6413,0.5955,0.5758,0.4533,0.7097,0.4232,0.3061,0.4048,0.4051,0.3607,0.3377,0.3226
Spring_XD,145,0.6391,0.5608,0.5747,0.6582,0.597,0.6111,0.4762,0.6372,0.6433,0.5967,0.6296,0.589,0.5507,0.5238,0.4559,0.3644,0.5109,0.3953,0.4275,0.3441,0.45
The_MongoDB_Engineering,259,0.614,0.5754,0.55,0.6187,0.5833,0.5231,0.4444,0.6749,0.5952,0.6885,0.6333,0.6122,0.6154,0.6,0.4766,0.4699,0.5,0.5059,0.3743,0.3038,0.3846
The_Titanium_SDK,284,0.6326,0.4988,0.5896,0.559,0.5691,0.557,0.6875,0.7168,0.5236,0.6703,0.6471,0.6338,0.6866,0.6667,0.4397,0.3426,0.4889,0.413,0.3611,0.2353,0.125
Titanium_Mobile_Platform,240,0.627,0.4552,0.589,0.5373,0.5926,0.5373,0.64,0.7017,0.5225,0.7097,0.7143,0.6087,0.6667,1,0.4726,0.3079,0.5263,0.3974,0.4062,0.3214,0.5
global,3482,0.5701,0.5182,0.5967,0.5105,0.47,0.4807,0.5455,0.6609,0.5756,0.6589,0.6337,0.6076,0.6904,0.7296,0.463,0.3554,0.4626,0.4166,0.4036,0.3173,0.4076
